ProductID,Fecha,Mes,Unidades,Product_name,Price_PLN_per_unit,PLN
P001,2026-01-01,1,65.52922821044922,Product 001,20.62,1351.212685699463
P001,2026-02-01,2,58.46903991699219,Product 001,20.62,1205.631603088379
P001,2026-03-01,3,54.01337432861328,Product 001,20.62,1113.755778656006
P001,2026-04-01,4,55.46747589111328,Product 001,20.62,1143.739352874756
P001,2026-05-01,5,52.96495056152344,Product 001,20.62,1092.1372805786134
P001,2026-06-01,6,56.9610481262207,Product 001,20.62,1174.5368123626708
P001,2026-07-01,7,64.52490997314453,Product 001,20.62,1330.5036436462403
P001,2026-08-01,8,66.04102325439453,Product 001,20.62,1361.7658995056154
P001,2026-09-01,9,59.92963790893555,Product 001,20.62,1235.749133682251
P001,2026-10-01,10,58.45733642578125,Product 001,20.62,1205.3902770996094
P001,2026-11-01,11,55.53472137451172,Product 001,20.62,1145.1259547424318
P001,2026-12-01,12,55.100196838378906,Product 001,20.62,1136.166058807373
P002,2026-01-01,1,35.03395080566406,Product 002,10.03,351.3905265808105
P002,2026-02-01,2,34.0770149230957,Product 002,10.03,341.7924596786499
P002,2026-03-01,3,32.06230545043945,Product 002,10.03,321.5849236679077
P002,2026-04-01,4,34.047000885009766,Product 002,10.03,341.4914188766479
P002,2026-05-01,5,39.94559097290039,Product 002,10.03,400.6542774581909
P002,2026-06-01,6,42.743526458740234,Product 002,10.03,428.71757038116453
P002,2026-07-01,7,38.81203079223633,Product 002,10.03,389.28466884613033
P002,2026-08-01,8,41.01866149902344,Product 002,10.03,411.41717483520506
P002,2026-09-01,9,39.7998046875,Product 002,10.03,399.19204101562497
P002,2026-10-01,10,39.601356506347656,Product 002,10.03,397.201605758667
P002,2026-11-01,11,43.634944915771484,Product 002,10.03,437.65849750518794
P002,2026-12-01,12,39.6496467590332,Product 002,10.03,397.685956993103
P003,2026-01-01,1,77.27876281738281,Product 003,36.01,2782.808249053955
P003,2026-02-01,2,73.86249542236328,Product 003,36.01,2659.7884601593014
P003,2026-03-01,3,70.35708618164062,Product 003,36.01,2533.558673400879
P003,2026-04-01,4,69.11724853515625,Product 003,36.01,2488.912119750976
P003,2026-05-01,5,74.4521484375,Product 003,36.01,2681.0218652343747
P003,2026-06-01,6,78.4804458618164,Product 003,36.01,2826.0808554840087
P003,2026-07-01,7,76.56999969482422,Product 003,36.01,2757.28568901062
P003,2026-08-01,8,76.72173309326172,Product 003,36.01,2762.7496086883543
P003,2026-09-01,9,71.6315689086914,Product 003,36.01,2579.4527964019776
P003,2026-10-01,10,69.57514953613281,Product 003,36.01,2505.4011347961423
P003,2026-11-01,11,72.2232666015625,Product 003,36.01,2600.7598303222653
P003,2026-12-01,12,70.88214874267578,Product 003,36.01,2552.4661762237547
P004,2026-01-01,1,149.22142028808594,Product 004,28.22,4211.028480529785
P004,2026-02-01,2,131.5684814453125,Product 004,28.22,3712.862546386719
P004,2026-03-01,3,138.4166717529297,Product 004,28.22,3906.118476867676
P004,2026-04-01,4,136.04307556152344,Product 004,28.22,3839.135592346191
